,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,cube,pyramid,ramp,cylinder,cone,sphere,spatial_reasoning,snap_submit,puzzle_45-Degree Rotations,puzzle_Angled Silhouette,puzzle_Bird Fez,puzzle_Pi Henge,puzzle_Pyramids are Strange
15,161.42893399999997,0.0,4,4,6,10,1,4,1,1,0,1,0,1,2.458333333333333,7,0.0,0.0,1.0,0.0,0.0
16,31.608949,0.0,4,4,0,0,0,0,2,2,0,0,0,0,3.875,0,0.0,1.0,0.0,0.0,0.0
17,49.45041000000001,0.0,3,4,2,1,0,0,1,1,0,0,0,1,3.208333333333333,3,0.0,0.0,1.0,0.0,0.0
18,36.760238,0.0,3,0,1,3,0,0,1,2,0,0,0,0,3.6666666666666665,0,0.0,1.0,0.0,0.0,0.0
19,111.12148,0.0,3,0,11,7,0,4,3,0,0,0,0,0,2.9444444444444446,0,0.0,0.0,0.0,1.0,0.0
20,134.8738740000001,0.0,5,18,1,2,1,3,0,5,0,0,0,0,2.5,2,0.0,0.0,0.0,0.0,1.0
21,101.002945,0.0,4,10,0,1,0,3,0,4,0,0,0,0,3.25,1,0.0,0.0,0.0,0.0,1.0
22,104.66990699999997,52.230662,5,2,3,1,2,10,2,2,0,0,0,1,2.9166666666666665,6,0.0,0.0,1.0,0.0,0.0
23,60.55749700000002,0.0,5,8,6,1,2,5,1,2,0,0,2,0,2.833333333333333,3,0.0,1.0,0.0,0.0,0.0
24,188.57275100000004,0.0,3,0,18,9,0,0,3,0,0,0,0,0,3.4444444444444446,0,0.0,0.0,0.0,1.0,0.0
25,63.797703000000006,0.0,4,6,0,1,0,2,0,4,0,0,0,0,3.875,0,0.0,0.0,0.0,0.0,1.0
26,150.51811800000002,129.367795,4,2,16,2,1,4,1,0,0,1,1,1,2.9166666666666665,3,0.0,0.0,1.0,0.0,0.0
27,55.530462,0.0,4,4,0,0,0,0,2,2,0,0,0,0,3.875,0,0.0,1.0,0.0,0.0,0.0
28,38.824738,0.0,3,0,6,5,0,5,3,0,0,0,0,0,3.5,0,0.0,0.0,0.0,1.0,0.0
29,34.5858,0.0,5,14,0,0,0,4,0,0,4,0,0,1,3.375,0,1.0,0.0,0.0,0.0,0.0
30,156.37105300000002,0.0,4,34,4,7,0,6,0,4,0,0,0,0,2.125,2,0.0,0.0,0.0,0.0,1.0
31,475.134588,0.0,5,26,83,2,2,117,1,0,0,2,1,1,1.3333333333333337,21,0.0,0.0,1.0,0.0,0.0
32,195.40628399999997,35.448198,3,12,15,1,0,29,1,2,0,0,0,0,2.083333333333333,14,0.0,1.0,0.0,0.0,0.0
33,50.100268,0.0,3,0,4,5,0,0,3,0,0,0,0,0,3.555555555555556,0,0.0,0.0,0.0,1.0,0.0
34,263.705682,36.551648,5,14,51,0,0,17,0,0,4,0,0,1,2.125,20,1.0,0.0,0.0,0.0,0.0
35,648.0770990000004,112.594399,4,53,40,34,0,60,0,4,0,0,0,0,1.375,12,0.0,0.0,0.0,0.0,1.0
36,54.37615700000003,0.0,3,2,4,1,0,4,1,1,0,0,0,1,3.6666666666666665,0,0.0,0.0,1.0,0.0,0.0
37,32.109063000000006,0.0,3,4,1,1,0,0,1,2,0,0,0,0,4.0,0,0.0,1.0,0.0,0.0,0.0
38,47.59492600000001,0.0,3,0,6,5,0,0,3,0,0,0,0,0,3.6666666666666665,0,0.0,0.0,0.0,1.0,0.0
39,316.564161,0.0,4,20,15,18,0,5,0,4,0,0,0,0,2.125,24,0.0,0.0,0.0,0.0,1.0
40,225.48491600000003,0.0,4,4,21,6,1,13,1,1,0,1,0,1,2.458333333333333,21,0.0,0.0,1.0,0.0,0.0
41,50.493456,0.0,3,7,1,1,0,0,1,2,0,0,0,0,3.5,0,0.0,1.0,0.0,0.0,0.0
42,214.90633900000003,0.0,3,0,22,15,0,54,3,0,0,0,0,0,2.333333333333333,3,0.0,0.0,0.0,1.0,0.0
43,115.90557100000002,0.0,5,16,8,2,0,8,0,0,4,0,0,1,2.5,0,1.0,0.0,0.0,0.0,0.0
44,150.13014200000003,0.0,4,24,3,1,0,17,0,4,0,0,0,0,2.5,2,0.0,0.0,0.0,0.0,1.0
45,58.293196,0.0,3,2,2,6,0,0,1,1,0,0,0,1,3.125,3,0.0,0.0,1.0,0.0,0.0
46,29.820227000000003,0.0,3,4,1,1,0,0,1,2,0,0,0,0,4.0,0,0.0,1.0,0.0,0.0,0.0
